"filename", "language", "Python", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\build_project.py", "Python", 22, 0, 0, 0, 5, 27
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\check_files.py", "Python", 9, 0, 0, 0, 1, 10
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\App.tsx", "TypeScript JSX", 0, 11, 0, 4, 6, 21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\run_all_pr21_tests.ts", "TypeScript", 0, 0, 72, 8, 13, 93
"Total", "-", 31, 11, 72, 12, 25, 151
