"filename", "language", "TypeScript", "TypeScript JSX", "Python", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\chatQAService.ts", "TypeScript", 71, 0, 0, 13, 13, 97
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\conversationHistoryManager.ts", "TypeScript", 26, 0, 0, 14, 9, 49
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\dailyAggregator.ts", "TypeScript", 102, 0, 0, 20, 23, 145
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\dailyRecordManager.ts", "TypeScript", 73, 0, 0, 22, 15, 110
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\escalation\acknowledgmentService.ts", "TypeScript", 42, 0, 0, 8, 9, 59
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\escalation\connectivityMonitor.ts", "TypeScript", 25, 0, 0, 4, 9, 38
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\escalation\dispatchEngine.ts", "TypeScript", 61, 0, 0, 11, 17, 89
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\escalation\escalationPipeline.ts", "TypeScript", 50, 0, 0, 16, 14, 80
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\escalation\failSafeRouter.ts", "TypeScript", 49, 0, 0, 9, 11, 69
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\exportEngine.ts", "TypeScript", 85, 0, 0, 10, 12, 107
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\healthContextBuilder.ts", "TypeScript", 78, 0, 0, 16, 15, 109
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\healthHistoryPipeline.ts", "TypeScript", 98, 0, 0, 21, 13, 132
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\healthInterpretationService.ts", "TypeScript", 59, 0, 0, 13, 13, 85
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\healthProfile\healthProfileDefaults.ts", "TypeScript", 46, 0, 0, 4, 8, 58
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\healthProfile\healthProfileManager.ts", "TypeScript", 81, 0, 0, 4, 11, 96
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\healthQueryAnalyzer.ts", "TypeScript", 64, 0, 0, 10, 12, 86
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\healthTimeline.ts", "TypeScript", 51, 0, 0, 17, 13, 81
