"filename", "language", "TypeScript", "TypeScript JSX", "XML", "Markdown", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\TemperatureCard.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\VitalCard.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 0, 9, 104
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\dashboard\index.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\profile\UserProfilePanel.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\shared\ErrorBoundary.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\shared\ToastContainer.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Badge.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 6, 53
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Button.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 0, 6, 75
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Card.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Container.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 5, 26
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Drawer.tsx", "TypeScript JSX", 0, 102, 0, 0, 0, 0, 13, 115
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Dropdown.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 0, 11, 91
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\EmptyState.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\IconButton.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 6, 55
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Modal.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 0, 13, 119
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\PageHeader.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 4, 37
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\ProductionErrorBoundary.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\SectionHeader.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Skeleton.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 6, 48
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\SkeletonCard.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Spinner.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\StatusBadge.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 6, 77
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Tooltip.tsx", "TypeScript JSX", 0, 55, 0, 0, 0, 0, 7, 62
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\config\chart.config.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 3, 75
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\constants\app.constants.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 6, 34
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\constants\routes.constants.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\context\AuthContext.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\context\ChartBufferRegistryContext.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\context\GlobalContext.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 7, 10, 70
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\context\ThemeContext.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 14, 72
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\data\mockDashboardData.ts", "TypeScript", 167, 0, 0, 0, 0, 0, 12, 179
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\engine\ChartBuffer.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\engine\DataWindow.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\engine\LiveChartEngine.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 1, 31
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useAuth.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 7, 43
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useClickOutside.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useGasChart.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useGlobalContext.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useHealthProfile.ts", "TypeScript", 25, 0, 0, 0, 0, 4, 9, 38
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useHeartRateChart.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useHistoricalData.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useLiveVitals.ts", "TypeScript", 27, 0, 0, 0, 0, 1, 5, 33
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useMediaQuery.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useOptimizedChartStream.ts", "TypeScript", 42, 0, 0, 0, 0, 5, 9, 56
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useRealtimeChartController.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useSpO2Chart.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useStepsChart.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useTheme.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\index.css", "PostCSS", 0, 0, 0, 0, 43, 0, 11, 54
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\classifiers\activityClassifier.ts", "TypeScript", 26, 0, 0, 0, 0, 7, 4, 37
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\config\activityConfig.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 2, 38
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\engine\activityEngine.ts", "TypeScript", 33, 0, 0, 0, 0, 15, 9, 57
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\engine\activityStabilizer.ts", "TypeScript", 46, 0, 0, 0, 0, 14, 11, 71
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\features\motionFeatures.ts", "TypeScript", 28, 0, 0, 0, 0, 5, 5, 38
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\posture\postureDetection.ts", "TypeScript", 17, 0, 0, 0, 0, 7, 4, 28
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\tests\activityEngine.test.ts", "TypeScript", 90, 0, 0, 0, 0, 9, 16, 115
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\types\activity.ts", "TypeScript", 31, 0, 0, 0, 0, 3, 5, 39
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\AIIntegratedWorkspaceHub.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 8, 12, 116
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\AIProviderSelectionPanel.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 4, 7, 119
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\AISummaryViewer.tsx", "TypeScript JSX", 0, 168, 0, 0, 0, 9, 10, 187
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\AIWorkspaceLayout.tsx", "TypeScript JSX", 0, 110, 0, 0, 0, 7, 5, 122
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\PromptPreviewPanel.tsx", "TypeScript JSX", 0, 133, 0, 0, 0, 6, 6, 145
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\RecommendationExplainabilityPanel.tsx", "TypeScript JSX", 0, 151, 0, 0, 0, 9, 14, 174
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\healthAnalyticsDashboard.tsx", "TypeScript JSX", 0, 85, 0, 0, 0, 9, 11, 105
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\controllers\workspaceViewController.ts", "TypeScript", 63, 0, 0, 0, 0, 5, 10, 78
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\tests\aiExperience.test.ts", "TypeScript", 48, 0, 0, 0, 0, 2, 7, 57
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\types\aiExperience.ts", "TypeScript", 17, 0, 0, 0, 0, 3, 4, 24
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\components\AIIntegrationModal.tsx", "TypeScript JSX", 0, 157, 0, 0, 0, 4, 6, 167
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\config\aiProviderConfig.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\engine\aiIntegratorHooks.ts", "TypeScript", 53, 0, 0, 0, 0, 11, 10, 74
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\engine\clientInteractionService.ts", "TypeScript", 44, 0, 0, 0, 0, 13, 11, 68
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\engine\contextBuilder.ts", "TypeScript", 21, 0, 0, 0, 0, 11, 4, 36
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\engine\promptBuilder.ts", "TypeScript", 53, 0, 0, 0, 0, 12, 7, 72
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\engine\providerRegistry.ts", "TypeScript", 22, 0, 0, 0, 0, 13, 5, 40
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\tests\aiIntegration.test.ts", "TypeScript", 73, 0, 0, 0, 0, 2, 15, 90
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\types\aiIntegration.ts", "TypeScript", 14, 0, 0, 0, 0, 3, 4, 21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\config\alertConfig.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\alertDecisionEngine.ts", "TypeScript", 69, 0, 0, 0, 0, 18, 13, 100
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\alertOutputBuilder.ts", "TypeScript", 25, 0, 0, 0, 0, 5, 1, 31
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\alertRuleEngine.ts", "TypeScript", 48, 0, 0, 0, 0, 10, 8, 66
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\cooldownTracker.ts", "TypeScript", 23, 0, 0, 0, 0, 13, 6, 42
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\escalationEngine.ts", "TypeScript", 49, 0, 0, 0, 0, 13, 10, 72
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\priorityEngine.ts", "TypeScript", 29, 0, 0, 0, 0, 9, 6, 44
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\tests\alertDecisionEngine.test.ts", "TypeScript", 64, 0, 0, 0, 0, 3, 11, 78
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\types\alerts.ts", "TypeScript", 26, 0, 0, 0, 0, 3, 4, 33
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\classifiers\healthClassifier.ts", "TypeScript", 14, 0, 0, 0, 0, 3, 1, 18
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\config\engineConfig.ts", "TypeScript", 50, 0, 0, 0, 0, 5, 3, 58
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\engine\telemetryEngine.ts", "TypeScript", 42, 0, 0, 0, 0, 13, 12, 67
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\pipeline\mockEngines.ts", "TypeScript", 78, 0, 0, 0, 0, 4, 10, 92
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\pipeline\pipelineFreezeManifest.ts", "TypeScript", 8, 0, 0, 0, 0, 4, 1, 13
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\pipeline\pipelineOrchestrator.ts", "TypeScript", 130, 0, 0, 0, 0, 20, 24, 174
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\pipeline\pipelineTypes.ts", "TypeScript", 61, 0, 0, 0, 0, 4, 2, 67
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\pipeline\tests\pipelineIntegration.test.ts", "TypeScript", 45, 0, 0, 0, 0, 7, 12, 64
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\productionHardening\audit\cleanupPlan.ts", "TypeScript", 31, 0, 0, 0, 0, 4, 5, 40
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\productionHardening\config\dependencyAudit.ts", "TypeScript", 57, 0, 0, 0, 0, 7, 5, 69
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\productionHardening\docs\DEPLOYMENT_GUIDE.md", "Markdown", 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\productionHardening\docs\DEVELOPER_GUIDE.md", "Markdown", 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\productionHardening\errorHandling\systemErrorLoggers.ts", "TypeScript", 59, 0, 0, 0, 0, 15, 12, 86
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\productionHardening\freeze\productionChecklist.ts", "TypeScript", 36, 0, 0, 0, 0, 7, 5, 48
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\productionHardening\memory\subscriptionTracker.ts", "TypeScript", 48, 0, 0, 0, 0, 18, 7, 73
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\productionHardening\optimization\memoizationManager.ts", "TypeScript", 43, 0, 0, 0, 0, 17, 9, 69
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\productionHardening\tests\productionHardening.test.ts", "TypeScript", 62, 0, 0, 0, 0, 4, 13, 79
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\productionHardening\validation\dataValidationEngine.ts", "TypeScript", 49, 0, 0, 0, 0, 11, 10, 70
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\recommendations\config\recommendationConfig.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\recommendations\engine\conflictResolution.ts", "TypeScript", 28, 0, 0, 0, 0, 9, 6, 43
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\recommendations\engine\rankingEngine.ts", "TypeScript", 15, 0, 0, 0, 0, 5, 3, 23
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\recommendations\engine\recCooldownTracker.ts", "TypeScript", 22, 0, 0, 0, 0, 13, 6, 41
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\recommendations\engine\recGenerationEngine.ts", "TypeScript", 68, 0, 0, 0, 0, 12, 9, 89
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\recommendations\engine\recOutputBuilder.ts", "TypeScript", 16, 0, 0, 0, 0, 5, 3, 24
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\recommendations\engine\recommendationEngine.ts", "TypeScript", 43, 0, 0, 0, 0, 17, 10, 70
